ID	Primary	Secondary	Ytitle	Title	Slegend
1	S_TRNTY/STORAGE	null	Storage	Trinity Reservoir Storage	null
2	C_TRNTY/FLOW-CHANNEL	null	Flow	Clear Creek	null
3	C_LWSTN/FLOW-CHANNEL	null	Flow	Trinity River	null
4	D_CLEARTU/FLOW-TUNNEL	TRINITY_IMPORTDV/ALIAS	Flow	Trinity River Exports	Import Target
5	S_WKYTN/STORAGE	null	Storage	Whiskeytown Reservoir Storage	null
6	D3/FLOW-DELIVERY	null	Flow	Spring Creek Tunnel	null
7	C3_M/FLOW	C3_MIF/FLOW-MIN-INSTREAM	Flow	Clear Creek	Minimum Instream Flow
8	I4/FLOW-INFLOW	null	Flow	Sacramento River Inflow	null
9	S_SHSTA/STORAGE+SHSTAE/STORAGE	null	Storage	Shasta Reservoir Storage	null
10	C4/FLOW-CHANNEL	null	Flow	Sacramento River at Shasta	null
11	C5/FLOW-CHANNEL	C5_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Keswick	Minimum Instream Flow
12	AD_RedBlf	null	null	Accretion/Depletion at Red Bluff	null
13	D_REDBLF/FLOW-DELIVERY	null	Flow	Diversion at Red Bluff	null
14	C112/FLOW-CHANNEL	C112_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Red Bluff	Minimum Instream Flow
15	C5/FLOW-CHANNEL	C5_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Keswick	Minimum Instream Flow
16	C4/FLOW-CHANNEL	null	Flow	Sacramento River at Shasta	null
102	S1/STORAGE	null	Storage	Trinity Reservoir Storage	null
103	S4/STORAGE+S44/STORAGE	null	Storage	Shasta Reservoir Storage	null
104	S8/STORAGE	null	Storage	Folsom Reservoir Storage	null
105	S1/STORAGE+S4/STORAGE+S8/STORAGE	null	Storage	CVP North of Delta Storage	null
106	S11/STORAGE	null	Storage	CVP San Luis Reservoir Storage	null
107	S6/STORAGE	null	Storage	Oroville Reservoir Storage	null
108	S12/STORAGE	null	Storage	SWP San Luis Reservoir Storage	null
111	S1/STORAGE	S1EVEL4DV/STORAGE-LEVEL	Storage	Trinity Reservoir Operations	Flood Pool Target
112	S4/STORAGE+S44/STORAGE	S4LEVEL5DV/STORAGE-LEVEL	Storage	Shasta Reservoir Operations	Flood Pool Target
113	S8/STORAGE	S8LEVEL5DV/STORAGE-LEVEL	Storage	Folsom Reservoir Operations	Flood Pool Target
114	S11/STORAGE	CVPRULECV/RULECURVE	Storage	CVP San Luis Reservoir Operations	Rule Curve
115	S6/STORAGE	S6LEVEL5DV/STORAGE-LEVEL	Storage	Oroville Reservoir Operations	Flood Pool Target
116	S12/STORAGE	SWPRULECV/RULECURVE	Storage	SWP San Luis Reservoir Operations	Rule Curve
202	C100/FLOW-CHANNEL	C100_MIF/FLOW-MIN-INSTREAM	Flow	Trinity River	Minimum Instream Flow
203	D100/FLOW-DELIVERY	TRIN_IMPDV/UNDEFINED	Flow	Trinity River Exports	Import Target
