C*******************************************************************************
C
C                  PARAMETER DATA FILE
C
C
C             Project :  CALSIM 3.0 Development	  (Rainfall-Runoff  Model)
C             Filename:  Parameter.dat
C
C*******************************************************************************
C                              File Description:
C
C   This data file contains the parameters used in the Rainfall-Runoff Model.
C
C*******************************************************************************
C                       Growing Season for Each Crop
C							(CROP FACTORS)
C-------------------------------------------------------------------------------
c 		Growing Season		
c	 Start    	End
C 	Month   	Month	(Months in Calendar Year)
C-------------------------------------------------------------------------------
	1		12	/AL	1 Alfalfa
	3		10	/AP	2 Almonds and Pistachio
	5		10	/CO	3 Cotton
	5		9	/CR	4 Corn
	4		9	/CU	5 Cucurbits
	7		9	/DB	6 Beans
	4		9	/FI	7 Other Field
	1		5	/GR	8 Grain
	1		12	/NV	9 Native Vegetation
	3		10	/OG	10 Onions and Garlic
	3		10	/OR	11 Other Deciduous
	1		12	/PA	12 Pasture
	4		8	/PO	13 Potatoes
	0		0	/RI	14 Rice
	3		9	/SB	15 Sugar Beets
	4		7	/SF	16 Safflower
	1		12	/SO	17 Sub-Tropical
	4		8	/TH	18 Fresh Tomatoes
	4		8	/TM	19 Process Tomatoes
	4		9	/TR	20 Other Truck
	0		0	/UR	21 Urban
	4		11	/VI	22 Vineyards
C**********************************************************************************************************************************************************************************
C                       Crop CN Soil Group
C					(CROP CN-SOIL GROUP LOOKUP)
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C							
C					SCS TR-55 designation
C					
C      Alfalfa (AL)					Pasture, grassland, or range-continuous for grazing, Good hydrologic condition2 
C      Almonds and Pistachio (AP)	Row crops, Straight Row treatment, Good hydrologic condition1  
C      Cotton (CO)					Row crops, Straight Row treatment, Good hydrologic condition1  
C      Corn (CR)					Row crops, Straight Row treatment, Good hydrologic condition1  
C      Cucurbits (CU)				Row crops, Straight Row treatment, Good hydrologic condition1  
C      Beans (DB)					Row crops, Straight Row treatment, Good hydrologic condition1  
C      Other Field (FI)				Row crops, Straight Row treatment, Good hydrologic condition1  
C      Grain (GR)					Small Grain, Straight Row treatment, Good hydrologic condition1
C      Native Vegetation (NV)		Woods-Grass combination, Poor hydrologic condition2 
C      Onions and Garlic (OG)		Row crops, Straight Row treatment, Good hydrologic condition1  
C      Other Deciduous (OR)			Woods-Grass combination, Good hydrologic condition2 
C      Pasture (PA)					Pasture, grassland, or range-continuous for grazing, Good hydrologic condition2 
C      Potatoes (PO)				Row crops, Straight Row treatment, Good hydrologic condition1  
C      Rice (RI)					Runoff not calculated using SCS Method
C      Sugar Beets (SB)				Row crops, Straight Row treatment, Good hydrologic condition1  
C      Safflower (SF)				Row crops, Straight Row treatment, Good hydrologic condition1  
C      Sub-Tropical (SO)			Woods-Grass combination, Good hydrologic condition2 
C      Fresh tomatoes (TH)			Row crops, Straight Row treatment, Good hydrologic condition1  
C      Process Tomatoes (TM)		Row crops, Straight Row treatment, Good hydrologic condition1  
C      Other Truck (TR)				Row crops, Straight Row treatment, Good hydrologic condition1  
C      Urban  (UR)					Urban districts: Commercial and business, 85% average impervious area3
C      Vineyards (VI)				Woods-Grass combination, Good hydrologic condition2 
C
C------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C																																										 
C	  									Growing Season CN by Soil Type (ABCD), Land Use, Region  CN(SoilType,LU,WBA)												SoilType 	 
C																																										 
C------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C	02	03	04	05	06	07N	07S	08N	08S	09	10	11	12	13	14	15N	15S	16	17N	17S	18	19	20	21	22	23	24	25	26N	26S	60N	60S	61	62	63	64	71	72	73	90			LU
C------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39		/ A	AL
	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61		/ B	
	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		/ C	
	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80		/ D	
	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67		/ A	AP
	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78		/ B	
	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85		/ C	
	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89		/ D	
	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67		/ A	CO
	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78		/ B	
	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85		/ C	
	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89		/ D	
	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67		/ A	CR
	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78		/ B	
	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85		/ C	
	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89		/ D	
	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67		/ A	CU
	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78		/ B	
	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85		/ C	
	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89		/ D	
