C	LAND	USE	BY	SOIL	TYPE	IN 	PERCENTAGE																				
C	2.2878	0.0784	0.6995	2.6113	3.7509	1.3814	1.2163	9.5196	12.4407	0.0051	2.0807	1.4127	0.0000	43.6172	1.7232	6.7301	0.0125	0.0000	8.1509	0.0741	2.1566	0.0511	100.0000	/	08S	233199	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	40.0428	62.7879	13.6758	25.1748	37.9196	34.0825	24.7655	42.0476	51.6358	100.0000	12.2335	51.7577	42.1646	49.0510	53.2262	19.6380	33.7217	42.1646	25.8296	72.6379	45.7431	100.0000	42.1646	/	B	98328	
	26.1606	32.6604	41.3908	29.8725	21.1848	44.4713	9.1583	15.7732	10.0069	0.0000	78.2966	4.6381	12.3869	3.1961	8.1078	17.0698	26.4907	12.3869	17.7650	12.9144	27.2763	0.0000	12.3869	/	C	28886	
	33.7966	4.5517	44.9334	44.9528	40.8956	21.4462	66.0761	42.1792	38.3573	0.0000	9.4700	43.6042	45.4485	47.7529	38.6660	63.2921	39.7875	45.4485	56.4053	14.4477	26.9806	0.0000	45.4485	/	D	105985	
C	1.5124	3.4974	0.0161	2.6826	3.0671	3.7912	2.3317	9.9990	30.7193	0.0000	7.9167	1.1885	0.0000	27.9365	1.8988	2.1816	0.0000	0.0000	0.7447	0.0000	0.5164	0.0000	100.0000	/	9	106920	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	6.2408	94.4379	0.0000	4.7301	1.3195	16.2124	49.8883	48.8363	25.6632	22.5021	35.8133	5.3133	22.5021	1.0587	25.9137	25.4574	22.5021	22.5021	0.0000	22.5021	29.3117	22.5021	22.5021	/	B	24059	
	7.8524	0.0000	92.7991	2.9645	20.2381	39.2650	1.2515	8.6723	8.0414	10.8994	37.1268	6.6117	10.8994	2.7821	6.4362	28.9943	10.8994	10.8994	74.5130	10.8994	20.4365	10.8994	10.8994	/	C	11654	
	85.9068	5.5621	7.2009	92.3054	78.4424	44.5226	48.8602	42.4914	66.2954	66.5985	27.0599	88.0749	66.5985	96.1593	67.6501	45.5483	66.5985	66.5985	25.4870	66.5985	50.2518	66.5985	66.5985	/	D	71207	
C	0.5239	19.0930	0.0000	0.4028	0.0064	0.1092	0.3820	1.5517	51.8252	0.0066	2.7923	1.1038	0.0000	8.4158	0.5884	0.3901	0.9307	0.0000	0.0051	0.0999	11.7730	0.0000	100.0000	/	10	129805	
	0.0000	0.0000	1.4526	0.0000	0.0000	0.0000	0.0000	0.0000	2.2378	0.0000	0.0000	0.0000	1.4526	0.0000	0.0000	0.0000	30.2122	1.4526	0.0000	0.0000	0.0991	1.4526	1.4526	/	A	1886	
	46.6460	93.4264	39.9733	60.6174	100.0000	74.2325	84.5204	63.3608	8.9199	100.0000	83.9617	82.5530	39.9733	21.8448	69.3179	79.6761	31.6003	39.9733	100.0000	100.0000	79.9459	39.9733	39.9733	/	B	51887	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	C	0	
	53.3540	6.5736	58.5741	39.3826	0.0000	25.7675	15.4796	36.6392	88.8423	0.0000	16.0383	17.4470	58.5741	78.1552	30.6821	20.3239	38.1874	58.5741	0.0000	0.0000	19.9550	58.5741	58.5741	/	D	76032	
C	1.1295	0.2364	0.0582	0.1431	0.2899	0.1063	0.5580	1.1551	19.4284	0.0000	12.9633	2.0918	0.0000	56.3574	0.0030	0.5358	0.7092	0.0000	0.0011	0.0900	4.1395	0.0040	100.0000	/	11	237118	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6609	0.3712	0.0528	0.0155	0.3712	0.0000	0.0000	0.0000	3.2482	0.3712	0.0000	0.0000	5.1365	0.0000	0.3712	/	A	880	
	49.5034	50.7313	0.0000	5.1192	9.9985	95.1008	41.4324	21.9510	6.5621	18.0124	67.1387	43.0285	18.0124	6.1133	10.0141	7.1415	71.2999	18.0124	0.0000	60.9674	43.1053	100.0000	18.0124	/	B	42711	
	0.0000	28.2741	0.0000	0.0000	0.0000	0.0000	4.5640	5.0755	22.2517	7.1175	17.1473	5.1667	7.1175	0.2000	0.0000	0.0000	14.6406	7.1175	0.0000	24.1470	1.7918	0.0000	7.1175	/	C	16877	
	50.4966	20.9946	100.0000	94.8808	90.0015	4.8992	54.0036	72.9735	70.5253	74.4989	15.6613	51.7893	74.4989	93.6867	89.9859	92.8585	10.8114	74.4989	100.0000	14.8856	49.9664	0.0000	74.4989	/	D	176651	
C	0.6188	0.7850	0.0000	0.0698	0.0000	0.0000	2.4341	4.2724	50.7352	0.0000	12.5866	4.2982	0.0000	10.4102	0.0000	0.0278	1.9002	0.0000	0.0000	0.0187	11.8430	0.0000	100.0000	/	12	35806	
	0.0000	0.0000	12.2066	0.0000	12.2066	12.2066	0.0000	0.0000	12.8658	12.2066	0.0000	0.0000	12.2066	0.0000	12.2066	0.0000	0.0000	12.2066	12.2066	0.0000	47.9536	12.2066	12.2066	/	A	4371	
	58.3047	44.1409	22.6446	100.0000	22.6446	22.6446	61.4042	21.4993	14.4537	22.6446	40.3027	36.7761	22.6446	44.0574	22.6446	51.4056	6.7314	22.6446	22.6446	100.0000	6.0828	22.6446	22.6446	/	B	8108	
	0.0000	42.4724	11.5581	0.0000	11.5581	11.5581	0.5358	0.0000	6.9091	11.5581	55.8238	6.1352	11.5581	0.0000	11.5581	0.0000	8.4246	11.5581	11.5581	0.0000	2.1634	11.5581	11.5581	/	C	4138	
	41.6953	13.3867	53.5907	0.0000	53.5907	53.5907	38.0599	78.5007	65.7714	53.5907	3.8736	57.0887	53.5907	55.9426	53.5907	48.5944	84.8440	53.5907	53.5907	0.0000	43.8001	53.5907	53.5907	/	D	19188	
C	0.0525	0.0607	0.0000	0.0000	0.0000	0.0000	0.1270	0.6443	84.5346	0.0000	0.1778	1.3918	0.0000	0.0000	0.0000	0.0000	4.7668	0.0000	0.0000	0.0000	8.2444	0.0000	100.0000	/	13	74586	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.0000	16.3355	24.0337	24.0337	24.0337	24.0337	0.0000	0.0000	27.9876	24.0337	7.1773	6.4976	24.0337	24.0337	24.0337	24.0337	0.4869	24.0337	24.0337	24.0337	2.8885	24.0337	24.0337	/	B	17926	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	C	0	
	100.0000	83.6645	75.9664	75.9664	75.9664	75.9664	100.0000	100.0000	72.0124	75.9664	92.8227	93.5024	75.9664	75.9664	75.9664	75.9664	99.5131	75.9664	75.9664	75.9664	97.1115	75.9664	75.9664	/	D	56660	
C	0.0908	0.0000	0.0000	0.0000	0.0000	0.0000	0.1034	0.1456	79.9808	0.0000	0.7502	4.9583	0.0000	4.9444	0.0000	0.0000	0.6391	0.0000	0.0000	0.0069	8.3625	0.0179	100.0000	/	14	64903	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	79.9864	2.2572	2.2572	2.2572	2.2572	2.2572	0.8043	4.4752	1.6018	2.2572	87.3793	2.2529	2.2572	2.3801	2.2572	2.2572	0.0024	2.2572	2.2572	0.0000	0.1343	0.0000	2.2572	/	B	1465	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	C	0	
	20.0136	97.7428	97.7428	97.7428	97.7428	97.7428	99.1957	95.5248	98.3982	97.7428	12.6207	97.7471	97.7428	97.6199	97.7428	97.7428	99.9976	97.7428	97.7428	100.0000	99.8657	100.0000	97.7428	/	D	63438	
C	0.1271	0.2682	0.0000	0.0076	0.0074	0.0000	0.1792	0.3602	18.6954	0.0000	29.7910	3.3408	0.0000	39.4153	0.0000	0.1470	0.7723	0.0000	0.0071	0.0132	6.8681	0.0000	100.0000	/	15N	49061	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.0000	100.0000	24.9513	0.0000	100.0000	24.9513	24.3317	37.8331	13.9805	24.9513	58.1799	9.5801	24.9513	6.9509	24.9513	54.8378	75.9151	24.9513	0.0000	0.0000	11.9836	24.9513	24.9513	/	B	12241	
	0.0000	0.0000	13.5559	0.0000	0.0000	13.5559	0.0000	3.0382	17.1117	13.5559	24.1482	17.1365	13.5559	0.9818	13.5559	4.5467	22.8234	13.5559	100.0000	100.0000	28.9628	13.5559	13.5559	/	C	6651	
	100.0000	0.0000	61.4928	100.0000	0.0000	61.4928	75.6683	59.1287	68.9079	61.4928	17.6720	73.2834	61.4928	92.0674	61.4928	40.6155	1.2615	61.4928	0.0000	0.0000	59.0536	61.4928	61.4928	/	D	30169	
C	0.4548	1.4353	0.0000	0.7955	0.3321	0.0928	0.3312	1.0912	43.6809	0.0000	17.0568	8.2693	0.0000	16.7476	0.0000	0.1399	0.1516	0.0000	0.0117	0.0799	9.3294	0.0000	100.0000	/	15S	100521	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	60.2533	56.1970	8.0905	0.0000	6.3125	0.0000	14.0767	7.1811	4.9562	8.0905	25.7178	0.5397	8.0905	0.0336	8.0905	0.0000	0.0131	8.0905	0.0000	0.0000	2.8090	8.0905	8.0905	/	B	8133	
	19.2248	21.9927	12.1104	0.7741	54.2903	0.0000	0.0000	27.6249	7.3616	12.1104	39.8978	2.6370	12.1104	0.4370	12.1104	13.4964	49.2552	12.1104	0.0000	56.2196	8.2408	12.1104	12.1104	/	C	12174	
	20.5219	21.8104	79.7992	99.2259	39.3972	100.0000	85.9233	65.1940	87.6823	79.7992	34.3845	96.8233	79.7992	99.5294	79.7992	86.5036	50.7317	79.7992	100.0000	43.7804	88.9501	79.7992	79.7992	/	D	80215	
C	0.4813	0.6285	0.0097	0.1521	3.1444	0.3718	0.0300	0.7640	9.1781	0.0000	53.9430	0.5515	0.0000	8.2433	0.2015	2.3861	0.1774	0.0000	1.8268	1.6270	16.2836	0.0000	100.0000	/	16	63452	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	59.9928	97.9189	0.0000	5.5343	36.4001	73.6414	51.9412	88.8169	25.9115	65.6195	78.0632	49.6342	65.6195	5.7050	0.0000	25.3246	97.6368	65.6195	45.4720	84.6497	88.2922	65.6195	65.6195	/	B	41637	
	0.0000	2.0811	0.0000	0.0000	17.2568	0.0000	48.0588	1.1346	64.1856	13.5626	9.3066	11.8799	13.5626	0.3728	0.0000	9.0567	2.3632	13.5626	0.0000	13.0991	9.4751	13.5626	13.5626	/	C	8606	
	40.0072	0.0000	100.0000	94.4657	46.3432	26.3586	0.0000	10.0485	9.9029	20.8180	12.6303	38.4859	20.8180	93.9222	100.0000	65.6187	0.0000	20.8180	54.5280	2.2512	2.2327	20.8180	20.8180	/	D	13209	
C	0.0000	6.8358	0.0000	0.0000	0.0000	0.3882	0.9213	2.1194	77.4863	0.0000	3.1756	0.8671	0.0000	7.2240	0.0000	0.4037	0.0000	0.0000	0.0000	0.0000	0.3852	0.1934	100.0000	/	17N	47123	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	25.2516	89.4105	25.2516	25.2516	25.2516	0.0000	0.2096	30.8779	14.1649	25.2516	90.9151	62.4660	25.2516	48.5355	25.2516	31.3584	25.2516	25.2516	25.2516	25.2516	65.5503	100.0000	25.2516	/	B	11899	
	23.2075	5.6870	23.2075	23.2075	23.2075	0.0000	19.4583	69.1221	26.6626	23.2075	8.6104	0.3206	23.2075	0.0015	23.2075	49.6267	23.2075	23.2075	23.2075	23.2075	9.8491	0.0000	23.2075	/	C	10936	
	51.5409	4.9025	51.5409	51.5409	51.5409	100.0000	80.3321	0.0000	59.1724	51.5409	0.4745	37.2133	51.5409	51.4631	51.5409	19.0148	51.5409	51.5409	51.5409	51.5409	24.6006	0.0000	51.5409	/	D	24288	
C	1.1134	3.8208	0.9434	0.0149	0.2854	6.2265	6.7663	4.0293	52.4922	0.0000	1.2594	0.3974	0.0000	18.1624	0.0000	1.4217	0.0709	0.0000	0.0068	0.0000	2.9892	0.0000	100.0000	/	17S	43743	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	99.9281	76.6644	0.0000	100.0000	14.5077	4.7910	0.4463	48.5980	10.3896	16.3318	65.9031	51.3978	16.3318	5.8376	16.3318	14.4272	82.8387	16.3318	0.0000	16.3318	71.4231	16.3318	16.3318	/	B	7144	
	0.0041	23.3356	55.4037	0.0000	85.4923	66.7937	76.7214	15.2634	59.8267	48.9770	33.6250	3.4399	48.9770	22.1533	48.9770	49.1365	17.1613	48.9770	100.0000	48.9770	25.7938	48.9770	48.9770	/	C	21424	
	0.0678	0.0000	44.5963	0.0000	0.0000	28.4153	22.8323	36.1386	29.7837	34.6911	0.4720	45.1622	34.6911	72.0091	34.6911	36.4363	0.0000	34.6911	0.0000	34.6911	2.7830	34.6911	34.6911	/	D	15175	
C	0.3700	0.0205	0.2008	0.9851	3.9657	6.5125	0.7609	8.3087	4.2576	0.0406	9.6419	0.0564	0.0000	25.9995	0.0000	23.0279	0.0000	0.0000	13.0575	1.6363	1.1584	0.0000	100.0000	/	18	34246	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	B	0	
	100.0000	100.0000	100.0000	39.0218	60.2181	52.0036	47.9142	69.0188	67.2325	100.0000	99.6302	100.0000	48.2680	21.8337	48.2680	41.9822	48.2680	48.2680	38.0464	100.0000	78.0761	48.2680	48.2680	/	C	16530	
	0.0000	0.0000	0.0000	60.9782	39.7819	47.9964	52.0858	30.9812	32.7675	0.0000	0.3698	0.0000	51.7319	78.1663	51.7319	58.0178	51.7319	51.7319	61.9536	0.0000	21.9239	51.7319	51.7319	/	D	17716	
C	0.5647	0.0000	0.0000	6.9690	8.5047	4.0654	0.9010	8.3290	5.5312	0.0000	2.3303	0.0146	0.0000	23.5968	0.1617	15.1636	0.0000	0.0000	22.6976	0.3137	0.8568	0.0000	100.0000	/	19	66315	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	B	0	
	100.0000	28.7659	28.7659	32.4040	26.9099	39.9031	36.4383	31.0638	58.6138	28.7659	98.8054	0.0000	28.7659	11.7888	100.0000	23.1643	28.7659	28.7659	28.3453	80.0317	50.3370	28.7659	28.7659	/	C	19076	
	0.0000	71.2341	71.2341	67.5960	73.0901	60.0969	63.5617	68.9362	41.3862	71.2341	1.1946	100.0000	71.2341	88.2112	0.0000	76.8357	71.2341	71.2341	71.6547	19.9683	49.6630	71.2341	71.2341	/	D	47239	
C	5.9501	1.3786	0.3967	5.7834	0.6910	0.3465	1.7805	13.5277	45.4561	0.0311	3.6544	1.0102	0.0000	1.1153	0.7506	1.5593	0.0858	0.0000	7.7283	0.5996	7.6265	0.5283	100.0000	/	20	311028	
