C	LAND	USE	BY	SOIL	TYPE	IN 	PERCENTAGE																				
C	Note:	Averge soil type pattern of a WBA is used for LU (crop) with zero acreage in the WBA																									
C	AL	AP	CO	CR	CU	DB	FI	GR	NV	OG	OR	PA	PO	RI	SB	SF	SO	TH	TM	TR	UR	VI	TOTAL	/	WBA	Acreage	
C	0.2984	0.1508	0.0000	0.0000	0.0184	0.0000	0.1759	0.3401	79.2027	0.0000	0.8063	5.6247	0.0000	0.0000	0.0000	0.0000	0.4420	0.0000	0.0000	0.0965	12.8413	0.0031	100.0000	/	2	222875	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	71.8467	0.0000	22.9937	22.9937	100.0000	22.9937	48.2216	18.0803	21.8636	22.9937	64.8878	21.0815	22.9937	22.9937	22.9937	22.9937	10.1406	22.9937	22.9937	40.9970	27.2933	0.0000	22.9937	/	B	51247	
	28.0075	91.3212	46.1380	46.1380	0.0000	46.1380	51.7784	75.1508	40.0833	46.1380	34.5308	77.8634	46.1380	46.1380	46.1380	46.1380	89.8594	46.1380	46.1380	59.0030	67.8116	100.0000	46.1380	/	C	102830	
	0.1459	8.6788	30.8683	30.8683	0.0000	30.8683	0.0000	6.7689	38.0531	30.8683	0.5814	1.0551	30.8683	30.8683	30.8683	30.8683	0.0000	30.8683	30.8683	0.0000	4.8950	0.0000	30.8683	/	D	68798	
C	0.1640	0.0199	0.0000	0.0021	0.0000	0.0000	0.3396	0.6160	78.6658	0.0000	0.7096	3.0930	0.0000	0.0202	0.0000	0.0873	0.0361	0.0000	0.0000	0.1320	16.1145	0.0000	100.0000	/	3	206643	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	37.6660	33.2686	20.5020	0.0000	20.5020	20.5020	18.7880	38.7292	19.2481	20.5020	83.6435	15.7016	20.5020	100.0000	20.5020	100.0000	53.2135	20.5020	20.5020	68.4380	22.9201	20.5020	20.5020	/	B	42366	
	54.1192	66.7314	38.6907	100.0000	38.6907	38.6907	80.0348	59.1300	30.2815	38.6907	16.3565	72.0882	38.6907	0.0000	38.6907	0.0000	46.7865	38.6907	38.6907	31.5620	72.7612	38.6907	38.6907	/	C	79952	
	8.2148	0.0000	40.8072	0.0000	40.8072	40.8072	1.1772	2.1407	50.4704	40.8072	0.0000	12.2102	40.8072	0.0000	40.8072	0.0000	0.0000	40.8072	40.8072	0.0000	4.3187	40.8072	40.8072	/	D	84325	
C	0.8839	1.1202	0.0000	0.4210	0.0062	0.0832	0.4590	2.6064	81.1767	0.0000	2.5216	3.6944	0.0000	0.6811	0.0766	0.1729	3.4082	0.0000	0.0000	0.0317	2.6482	0.0088	100.0000	/	4	464852	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	32.8214	20.2271	4.8523	18.0476	0.0000	53.9609	13.5595	8.6897	2.4599	4.8523	50.0105	6.2852	4.8523	0.0000	87.9305	89.2439	1.9797	4.8523	4.8523	0.0000	5.5445	0.0000	4.8523	/	B	22556	
	65.1050	77.5043	27.4303	75.4508	100.0000	46.0391	54.0968	53.9158	19.3669	27.4303	47.6303	83.9584	27.4303	86.4586	12.0695	10.7561	50.9885	27.4303	27.4303	100.0000	58.5975	100.0000	27.4303	/	C	127511	
	2.0736	2.2686	67.7173	6.5016	0.0000	0.0000	32.3437	37.3945	78.1732	67.7173	2.3592	9.7563	67.7173	13.5414	0.0000	0.0000	47.0318	67.7173	67.7173	0.0000	35.8580	0.0000	67.7173	/	D	314785	
C	0.6890	10.6430	0.0000	0.7512	0.0335	0.3844	0.4881	2.3938	60.1317	0.0000	15.6295	4.5601	0.0000	0.0000	0.4151	0.7722	0.1901	0.0000	0.0069	0.1456	2.7647	0.0009	100.0000	/	5	182401	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	99.6165	79.3688	39.4607	72.2704	100.0000	95.1752	75.7789	72.3254	13.7813	39.4607	87.3730	45.9362	39.4607	39.4607	66.9440	76.9054	84.1112	39.4607	100.0000	82.7916	75.4474	100.0000	39.4607	/	B	71977	
	0.0000	1.2179	1.1406	0.0000	0.0000	0.0000	0.0000	1.3982	0.7268	1.1406	0.2012	2.7674	1.1406	1.1406	0.0000	2.2194	0.0000	1.1406	0.0000	14.5004	12.4627	0.0000	1.1406	/	C	2080	
	0.3835	19.4133	59.3988	27.7296	0.0000	4.8248	24.2211	26.2765	85.4920	59.3988	12.4257	51.2965	59.3988	59.3988	33.0560	20.8753	15.8888	59.3988	0.0000	2.7080	12.0899	0.0000	59.3988	/	D	108344	
C	2.5871	4.6703	0.0000	1.0515	0.0000	0.0000	0.6059	3.3256	43.0357	0.0000	2.8889	27.4783	0.0000	0.0000	0.0673	0.0000	7.3180	0.0000	0.0000	0.0000	6.9713	0.0000	100.0000	/	6	36924	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	49.7236	59.2450	47.9869	46.2692	47.9869	47.9869	20.2029	55.5060	44.9304	47.9869	58.5261	38.9332	47.9869	47.9869	0.0000	47.9869	57.4967	47.9869	47.9869	47.9869	79.5557	47.9869	47.9869	/	B	17719	
	50.2764	40.7550	31.6491	49.6046	31.6491	31.6491	79.7971	44.4940	8.9035	31.6491	41.4739	59.5319	31.6491	31.6491	100.0000	31.6491	42.5033	31.6491	31.6491	31.6491	20.0006	31.6491	31.6491	/	C	11686	
	0.0000	0.0000	20.3640	4.1262	20.3640	20.3640	0.0000	0.0000	46.1662	20.3640	0.0000	1.5349	20.3640	20.3640	0.0000	20.3640	0.0000	20.3640	20.3640	20.3640	0.4437	20.3640	20.3640	/	D	7519	
C	4.2963	3.9472	0.0170	2.9602	0.1158	0.4398	1.3046	10.2744	62.0222	0.0000	1.4164	4.3536	0.0000	3.0045	1.9768	0.8372	0.9013	0.0000	0.0000	0.0385	1.6257	0.4684	100.0000	/	07N	285010	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	26.9920	45.5300	0.0000	18.3736	0.0000	6.5393	18.8846	14.5893	2.5551	9.8583	49.8155	25.2260	9.8583	8.0597	7.2095	11.5672	52.0799	9.8583	9.8583	32.9869	14.2276	0.0000	9.8583	/	B	28097	
	72.4658	47.0702	0.0000	80.7804	77.4653	90.5556	76.4295	71.7396	20.8037	40.3785	47.4889	70.5642	40.3785	90.3178	92.2101	81.5003	47.9201	40.3785	40.3785	67.0131	84.1166	100.0000	40.3785	/	C	115083	
	0.5423	7.3997	100.0000	0.8459	22.5347	2.9050	4.6860	13.6711	76.6412	49.7633	2.6956	4.2098	49.7633	1.6225	0.5804	6.9325	0.0000	49.7633	49.7633	0.0000	1.6558	0.0000	49.7633	/	D	141830	
C	1.6495	6.4477	0.5858	1.1989	1.7372	0.4120	0.6748	9.9731	66.4351	0.0134	0.3249	0.2962	0.0000	0.5871	0.1275	0.9464	0.0540	0.0000	6.2736	0.1785	1.1851	0.8991	100.0000	/	07S	390568	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	59.1114	91.5947	58.8076	69.9061	62.7495	70.9344	41.4812	58.1611	6.4820	27.4390	91.5334	76.4795	27.7445	57.7241	60.1121	61.0031	62.2706	27.7445	81.8936	62.3629	67.8238	33.9292	27.7445	/	B	108361	
	17.1333	0.1108	5.8086	19.6706	10.6873	0.1666	21.1360	10.4344	10.4816	14.5960	7.8433	3.7345	10.1760	0.0502	0.0000	15.0738	10.6843	10.1760	10.4082	33.6288	11.3255	27.6783	10.1760	/	C	39744	
	23.7553	8.2945	35.3838	10.4233	26.5632	28.8990	37.3828	31.4045	83.0364	57.9649	0.6233	19.7860	62.0796	42.2257	39.8879	23.9231	27.0451	62.0796	7.6982	4.0084	20.8508	38.3925	62.0796	/	D	242463	
C	1.6816	2.8775	0.0476	1.2773	0.5045	0.5681	1.6944	3.9448	19.6040	0.0000	5.6532	2.0989	0.0000	54.9872	1.0985	1.4000	0.0262	0.0000	0.5087	0.0000	2.0276	0.0000	100.0000	/	08N	173605	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	77.5866	90.2831	100.0000	81.6006	71.0826	76.1635	84.4803	76.2891	94.9796	100.0000	84.8607	70.9405	86.1175	84.9165	84.7662	90.7885	100.0000	86.1175	81.4059	86.1175	81.4273	86.1175	86.1175	/	B	149504	
	22.3942	9.7169	0.0000	18.3994	28.9174	23.0892	10.8680	22.5589	4.9573	0.0000	15.1393	29.0595	13.7217	15.0835	15.2338	8.8638	0.0000	13.7217	15.6874	13.7217	18.5727	13.7217	13.7217	/	C	23822	
	0.0192	0.0000	0.0000	0.0000	0.0000	0.7473	4.6517	1.1520	0.0630	0.0000	0.0000	0.0000	0.1608	0.0000	0.0000	0.3477	0.0000	0.1608	2.9067	0.1608	0.0000	0.1608	0.1608	/	D	279	
