C*******************************************************************************
C
C                          IWFM DEMAND CALCULATOR (IDC)
C                              *** Version 2.1 ***
C
C*******************************************************************************
C
C                            LAND USE DATA FILE
C
C
C             Project :    CALSIM 3.0 Development
C             Filename:    ExistLandUse.dat
C
C******************************************************************************
C                          File Description
C
C   This data file contains the time series data for the area of each
C   agricultural crop, urban and native vegetation area in each subregion.
C
C*******************************************************************************
C                           Land Use Data Specifications
C
C   FACTLN;   Conversion factor for land use area
C   DSSFL ;   The name of the DSS file for data input
C              * Leave blank if DSS file is not used for data input
C
C----------------------------------------------------------------------------------------
C         VALUE                                      DESCRIPTION
C----------------------------------------------------------------------------------------
         43560.0                                     / FACTLN
         .\inputDSS\CS3_LandUseDU.dss                              / DSSFL
C----------------------------------------------------------------------------------------
C                             Land Use Data
C                         (READ FROM THIS FILE)
C
C   List the land use data below, if it will not be read from a DSS file
C   (i.e. DSSFL is left blank above).
C
C   ITLN ;   Time
C   IREGN;   Subregion number
C   AREA ;   Area of each land use type [L^2]
C              1:Crop 1 ; 2:Crop 2 ; 3:Crop 3 ..... NCROP:Crop NCROP ; NCROP+1:Urban ; NCROP+2:Native veg.
C
C  **************************************************************** LU DOCUMENTATION ************************************************
C  **** Values taken from CalSim-III Hydrology Development Project report Table 7-7 Irrigated Crop Acreage by Demand Unit Sacramento River Hydrologic Region ****
C  **** The following assumptions were made to match land use values with latest DU list and names
C	MWH Provided DU acreage	04/22/10	LandUsebyDemandUnit_04.22.10.xlsx
C						IDC DU Name
C		     				8S_NA1
C		                 		8S_NA2
C						9_PR
C						11_PR
C		                                11_SA3
C		 				11_SA4
C						16_NA1
C						16_NA2
C						20_NA1
C						20_NA2
C						24_NA2
C						24_NA3
C  **** RICE ACREAGE HAS BEEN ZEROED-OUT AND IS ACCOUNTED FOR IN RICE POST-PROCESSOR ONLY
C  **********************************************************************************************************************************
C--------------------------------------------------------------------------------------------
C   ITLN             IREGN     AREA[1]    AREA[2]  .....  AREA[NCROP+2]
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C                                                               AREA
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C			IREGN	AL	AP	CO	CR	CU	DB	FI	GR	OG	OR	PA	PO	RI	SB	SF	SO	TH	TM	TR	VI	UR	NV
C			  29	1822	31926	1624	762	3763	1618	700	5739	877	918	568	0	0	35	603	175	0	6942	147	1901	1393	30889
C			  30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	121
C			  31	525	3778	0	621	304	619	658	893	0	8548	358	0	0	156	1025	0	0	576	0	0	579	10088
C			  32	116	0	0	0	1	52	10	94	0	0	0	0	0	11	1	0	0	38	0	0	31	745
C			  33	120	277	0	340	262	130	288	129	0	1134	296	0	0	34	187	8	0	158	0	0	414	6752
C			  34	1680	2438	24	1383	105	362	980	1582	0	1049	2497	0	0	105	197	16	0	67	0	0	2215	10999
C			  35	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	56	10292
C			  36	0	0	248	24	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5139
C			  37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0
C			  38	202	24	0	289	911	1362	178	831	0	2210	80	0	0	117	1267	0	0	1587	40	0	827	6032
C			  39	779	41	0	642	718	1249	61	1521	0	1164	33	0	0	119	2557	0	0	1903	22	0	210	5875
C			  40	1019	0	4198	1610	571	450	856	1310	0	33	226	0	0	163	1544	0	0	1404	17	0	206	5973
C			  41	17	37	0	88	480	64	12	671	0	331	306	0	0	2	395	0	0	522	0	0	526	5103
C			  42	987	154	734	399	1609	227	353	2581	300	733	2034	0	0	59	774	10	0	3237	50	153	1332	15977
C			  43	1450	0	1031	1946	1701	868	1349	2707	0	585	187	0	0	84	7522	0	0	9610	21	0	186	7909
C			  44	0	0	0	0	0	1	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3829
C			  45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1742	282
C			  46	1886	2008	0	4259	1144	2303	2759	3125	0	8575	1243	0	0	200	1251	0	0	222	0	0	380	23733
C			  47	1	1239	0	1	0	448	200	582	0	7	0	0	0	0	583	0	0	0	0	0	16	3698
C			  48	92	0	0	133	369	1017	180	199	0	1299	56	0	0	0	827	0	0	145	0	0	127	8491
C			  49	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	24	3265
C			  50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  51	801	23186	0	400	25	119	297	794	0	4257	1414	0	0	0	349	871	0	70	400	0	3407	64110
C			  52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11606	9367
C			  53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	20
C			  54	478	318	0	0	0	0	113	458	0	9199	644	0	0	0	47	334	0	0	74	0	1088	34793
C			  55	759	13	12	442	20	2	199	314	0	613	40	0	0	0	754	0	0	0	0	0	456	12532
C			  56	0	1	0	0	0	1	56	15	0	52	84	0	0	0	20	0	0	0	2	0	480	4979
C			  57	1233	118	0	46	165	117	743	367	0	16584	2302	0	0	0	95	817	0	0	91	0	2190	10097
C			  58	336	109	95	0	324	0	48	1325	0	4852	599	0	0	0	359	44	0	2	50	0	679	3370
C			  59	0	0	0	0	0	36	5	19	0	0	95	0	0	0	45	0	0	0	0	0	4	4259
C			  60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3174	10958
C			  61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	150
C			  62	170	60	0	0	0	0	147	500	0	3512	1574	0	0	0	33	456	0	0	0	0	1842	19760
C			  63	0	107	0	0	0	0	2	44	0	1484	226	0	0	0	0	61	0	0	0	0	80	818
C			  64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C			  65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2318	441
C			  66	30	0	0	0	0	0	16	230	0	138	1149	0	0	0	0	2150	0	0	0	0	1496	57333
C			  67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4653	8921
C			  68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  69	31	0	0	0	0	0	38	17	0	469	6579	0	0	0	0	0	0	0	0	10	5460	55963
C			  70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  72	33	105	0	3	3	0	13	49	0	11246	301	0	0	0	34	218	0	0	0	0	1161	5436
C			  73	1	0	0	0	0	0	36	13	0	2208	1234	0	0	0	0	66	0	0	7	0	907	6842
C			  74	0	0	0	0	0	0	0	0	0	1238	0	0	0	0	0	0	0	0	0	0	3	211
C			  75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1404	92
C			  76	107	97	0	375	106	0	92	190	0	7675	1462	0	0	0	63	71	0	0	93	0	4132	35477
C			  77	134	1059	0	256	0	0	97	174	0	5400	6243	0	0	0	4	45	0	0	0	0	906	14335
C			  78	0	0	0	0	157	0	0	23	0	4114	54	0	0	0	0	0	0	0	0	0	59	1552
C			  79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4470	940
C			  80	140	385	5	5	109	67	15	431	0	19334	169	0	0	0	92	69	0	139	495	0	4839	1821
C			  81	160	0	0	83	1093	45	0	129	0	2664	30	0	0	33	689	0	0	576	148	0	78	3274
C			  82	6	7	0	0	309	0	1	10	0	6656	25	0	0	0	252	0	0	117	349	0	211	227
C			  83	0	8	0	0	0	0	0	0	0	6108	31	0	0	0	195	11	0	0	58	0	603	2537
C			  84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4600	472
C			  86	0	3149	0	0	0	151	183	518	0	1594	298	0	0	0	139	0	0	0	0	100	150	22432
C			  87	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	5	7505
C			  88	0	0	0	0	0	0	2	0	0	11	1	0	0	0	0	0	0	0	0	0	26	8368
C			  89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  90	573	1568	422	5	125	1163	387	697	0	652	172	0	0	0	429	23	0	30	0	0	735	23109
C			  91	0	0	0	0	293	1083	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3235
C			  92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3024
C			  93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	16
C			  94	46	0	4	238	285	1331	98	1174	99	1835	0	0	0	0	1858	0	0	1077	468	0	238	2278
C			  95	89	0	96	107	814	1416	125	1455	1	1571	0	0	0	0	4530	0	0	2060	42	0	158	2707
C			  96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  97	399	0	0	4722	4566	3320	511	5104	0	1594	0	0	0	33	8145	0	0	10562	190	0	502	12401
C			  98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	1
C			  99	21658	3914	980	10764	1461	1411	6128	25138	85	7984	2735	0	0	431	4064	107	0	22204	950	1766	7126	62825
C			  100	30	229	0	377	32	3	121	999	9	865	83	0	0	1	64	50	0	795	274	227	1463	103989
C			  101	423	0	20	52	0	139	93	165	0	215	121	0	0	1	96	0	0	63	378	170	505	322
C			  102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14627	1710
C			  103	936	196	0	954	177	184	279	1198	6	2416	29	0	0	51	780	0	0	2184	98	0	253	8282
C			  104	1528	0	15	1959	866	140	281	243	0	204	11	0	0	0	1539	0	0	1546	0	0	23	2498
C			  105	2701	0	0	2448	249	53	428	281	0	459	8	0	0	83	909	0	0	1019	2	0	219	6343
C			  106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452	636
C			  107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	14
C			  108	1067	0	0	640	13	240	75	854	1	1700	507	0	0	247	182	3	0	23	32	0	607	4907
C			  109	780	0	0	2335	88	51	216	1728	66	214	677	0	0	930	1085	2	0	440	73	3	1641	9319
C			  110	426	0	0	293	0	81	37	256	0	481	50	0	0	34	21	0	0	120	0	0	21	501
C			  111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2402	2165
C			  112	1055	123	0	638	6	294	974	2242	0	8385	3143	0	0	133	3	26	0	0	20	0	1884	27350
C			  113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C			  114	0	0	0	0	0	0	0	319	0	237	9239	0	0	0	0	37	0	0	148	8	1512	43579
C			  115	0	1	0	597	0	0	117	1671	0	112	2326	0	0	0	0	1	0	0	1	0	1368	39987
C			  116	0	0	0	0	0	0	0	782	0	347	4342	0	0	0	0	70	0	0	82	26	3893	23992
C			  117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C			  118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4288	3965
C			  119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8850	24578
C			  120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	855
C			  121	7658	1022	0	4589	101	2007	3431	16847	100	7309	3509	0	0	572	1545	0	0	6646	239	117	2852	115075
C			  122	7759	678	0	5401	537	1668	3846	4543	0	3342	2286	0	0	588	180	0	0	4458	625	98	4755	18700
C			  123	6427	0	0	1537	0	0	1340	885	0	10	1919	0	0	353	0	0	0	363	0	0	223	2004
C			  124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561	1070
C			  125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7175	2609
C			  126	0	81	0	63	60	0	1	1081	0	143	1150	0	0	90	315	62	0	17	77	64	463	3977
C			  127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25428	13322
C			  128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3474	32
C			  129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5092	335
C			  130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22440	5011
C			  131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	341
C			  132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10011	12268
C			  133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16318	5893
C			  134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10009	327
C			  135	1713	0	0	2827	0	0	222	1711	0	0	7558	0	0	91	183	33	0	46	800	667	4430	31400
C			  136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10713	17751
C			  137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8975	3352
C			  138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9223	525
C			  139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	134
C			  140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8386	10351
C			  141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29001	2698
C			  142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	70
C			  143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2473	2163
C			  144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6117	476
C			  145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5640	3162
C*
C----------------------------------------------------------------------------------------
C                              Pathnames for Land Use Data
C                                (READ FROM DSS FILE)
C
C   List the pathnames for the land use data below, if it will be read from a DSS file
C   (i.e. DSSFL is specified above).
C
C   The pathnames should be listed for each subregion and land use type combination.
C   They should be listed in an order such that, the land use type changes first.
C
C   * Example:
C
C       IREGN     CRTYPE        PATH
C        1        1         (pathname[1])			         => Sub-region 1; crop 1
C        1        2         (pathname[2])				 => Sub-region 1; crop 2
C        1        3         (pathname[3])				 => Sub-region 1; crop 3
C        .        .               .					       .
C        .        .               .					       .
C        .        .               .					       .
C        1        NCROP     (pathname[NCROP])				 => Sub-region 1; crop NCROP
C        1        NCROP+1   (pathname[NCROP+1])				 => Sub-region 1; urban
C        1        NCROP+2   (pathname[NCROP+2])				 => Sub-region 1; native vegetation
C        2        1         (pathname[NCROP+3])				 => Sub-region 2; crop 1
C        2        2         (pathname[NCROP+4])				 => Sub-region 2; crop 2
C        2        3         (pathname[NCROP+5])				 => Sub-region 2; crop 3
C        .        .               .					       .
C        .        .               .					       .
C        .        .               .					       .
C        2        NCROP     (pathname[2*NCROP+2])			 => Sub-region 2; crop NCROP
C        2        NCROP+1   (pathname[2*NCROP+3])			 => Sub-region 2; urban
C        2        NCROP+2   (pathname[2*NCROP+4])			 => Sub-region 2; native vegetation
C        .        .               .					       .
C        .        .               .					       .
C        .        .               .					       .
C        NREGN    1         (pathname[(NREGN-1)*(NCROP+2)+1])		 => Sub-region NREGN; crop 1
C        NREGN    2         (pathname[(NREGN-1)*(NCROP+2)+2])		 => Sub-region NREGN; crop 2
C        NREGN    3         (pathname[(NREGN-1)*(NCROP+2)+3])		 => Sub-region NREGN; crop 3
C        .        .              .					       .
C        .        .              .					       .
C        .        .              .					       .
C        NREGN    NCROP     (pathname[(NREGN-1)*(NCROP+2)+NCROP])	 => Sub-region NREGN; crop NCROP
C        NREGN    NCROP+1   (pathname[(NREGN-1)*(NCROP+2)+NCROP+1])	 => Sub-region NREGN; urban
C        NREGN    NCROP+2   (pathname[NREGN*(NCROP+2)])			 => Sub-region NREGN; native vegetation
C
C   IREGN  ;  Sub-region number
C   CRTYPE ;  Crop, non-agricultural land use or bare soil identifier
C   PATH   ;  Pathname corresponding to element and land use type combination
C
C----------------------------------------------------------------------------------------
C   IREGN        CRTYPE        PATH
C----------------------------------------------------------------------------------------
	1	1		/CALSIM/02_NA_AL/LANDUSE//1MON/EXISTING/
	1	2		/CALSIM/02_NA_AP/LANDUSE//1MON/EXISTING/
	1	3		/CALSIM/02_NA_CO/LANDUSE//1MON/EXISTING/
	1	4		/CALSIM/02_NA_CR/LANDUSE//1MON/EXISTING/
	1	5		/CALSIM/02_NA_CU/LANDUSE//1MON/EXISTING/
	1	6		/CALSIM/02_NA_DB/LANDUSE//1MON/EXISTING/
	1	7		/CALSIM/02_NA_FI/LANDUSE//1MON/EXISTING/
	1	8		/CALSIM/02_NA_GR/LANDUSE//1MON/EXISTING/
	1	9		/CALSIM/02_NA_OG/LANDUSE//1MON/EXISTING/
	1	10		/CALSIM/02_NA_OR/LANDUSE//1MON/EXISTING/
	1	11		/CALSIM/02_NA_PA/LANDUSE//1MON/EXISTING/
	1	12		/CALSIM/02_NA_PO/LANDUSE//1MON/EXISTING/
	1	13		/CALSIM/02_NA_RI/LANDUSE//1MON/EXISTING/
	1	14		/CALSIM/02_NA_SB/LANDUSE//1MON/EXISTING/
	1	15		/CALSIM/02_NA_SF/LANDUSE//1MON/EXISTING/
	1	16		/CALSIM/02_NA_SO/LANDUSE//1MON/EXISTING/
	1	17		/CALSIM/02_NA_TH/LANDUSE//1MON/EXISTING/
	1	18		/CALSIM/02_NA_TM/LANDUSE//1MON/EXISTING/
	1	19		/CALSIM/02_NA_TR/LANDUSE//1MON/EXISTING/
	1	20		/CALSIM/02_NA_VI/LANDUSE//1MON/EXISTING/
	1	21		/CALSIM/02_NA_UR/LANDUSE//1MON/EXISTING/
	1	22		/CALSIM/02_NA_NV/LANDUSE//1MON/EXISTING/
	2	1		/CALSIM/02_PA_AL/LANDUSE//1MON/EXISTING/
	2	2		/CALSIM/02_PA_AP/LANDUSE//1MON/EXISTING/
	2	3		/CALSIM/02_PA_CO/LANDUSE//1MON/EXISTING/
	2	4		/CALSIM/02_PA_CR/LANDUSE//1MON/EXISTING/
	2	5		/CALSIM/02_PA_CU/LANDUSE//1MON/EXISTING/
	2	6		/CALSIM/02_PA_DB/LANDUSE//1MON/EXISTING/
	2	7		/CALSIM/02_PA_FI/LANDUSE//1MON/EXISTING/
	2	8		/CALSIM/02_PA_GR/LANDUSE//1MON/EXISTING/
	2	9		/CALSIM/02_PA_OG/LANDUSE//1MON/EXISTING/
	2	10		/CALSIM/02_PA_OR/LANDUSE//1MON/EXISTING/
	2	11		/CALSIM/02_PA_PA/LANDUSE//1MON/EXISTING/
	2	12		/CALSIM/02_PA_PO/LANDUSE//1MON/EXISTING/
	2	13		/CALSIM/02_PA_RI/LANDUSE//1MON/EXISTING/
	2	14		/CALSIM/02_PA_SB/LANDUSE//1MON/EXISTING/
	2	15		/CALSIM/02_PA_SF/LANDUSE//1MON/EXISTING/
	2	16		/CALSIM/02_PA_SO/LANDUSE//1MON/EXISTING/
	2	17		/CALSIM/02_PA_TH/LANDUSE//1MON/EXISTING/
	2	18		/CALSIM/02_PA_TM/LANDUSE//1MON/EXISTING/
	2	19		/CALSIM/02_PA_TR/LANDUSE//1MON/EXISTING/
	2	20		/CALSIM/02_PA_VI/LANDUSE//1MON/EXISTING/
	2	21		/CALSIM/02_PA_UR/LANDUSE//1MON/EXISTING/
	2	22		/CALSIM/02_PA_NV/LANDUSE//1MON/EXISTING/
	3	1		/CALSIM/02_SA_AL/LANDUSE//1MON/EXISTING/
	3	2		/CALSIM/02_SA_AP/LANDUSE//1MON/EXISTING/
	3	3		/CALSIM/02_SA_CO/LANDUSE//1MON/EXISTING/
	3	4		/CALSIM/02_SA_CR/LANDUSE//1MON/EXISTING/
	3	5		/CALSIM/02_SA_CU/LANDUSE//1MON/EXISTING/
	3	6		/CALSIM/02_SA_DB/LANDUSE//1MON/EXISTING/
	3	7		/CALSIM/02_SA_FI/LANDUSE//1MON/EXISTING/
	3	8		/CALSIM/02_SA_GR/LANDUSE//1MON/EXISTING/
	3	9		/CALSIM/02_SA_OG/LANDUSE//1MON/EXISTING/
	3	10		/CALSIM/02_SA_OR/LANDUSE//1MON/EXISTING/
	3	11		/CALSIM/02_SA_PA/LANDUSE//1MON/EXISTING/
	3	12		/CALSIM/02_SA_PO/LANDUSE//1MON/EXISTING/
	3	13		/CALSIM/02_SA_RI/LANDUSE//1MON/EXISTING/
	3	14		/CALSIM/02_SA_SB/LANDUSE//1MON/EXISTING/
	3	15		/CALSIM/02_SA_SF/LANDUSE//1MON/EXISTING/
	3	16		/CALSIM/02_SA_SO/LANDUSE//1MON/EXISTING/
	3	17		/CALSIM/02_SA_TH/LANDUSE//1MON/EXISTING/
	3	18		/CALSIM/02_SA_TM/LANDUSE//1MON/EXISTING/
	3	19		/CALSIM/02_SA_TR/LANDUSE//1MON/EXISTING/
	3	20		/CALSIM/02_SA_VI/LANDUSE//1MON/EXISTING/
	3	21		/CALSIM/02_SA_UR/LANDUSE//1MON/EXISTING/
	3	22		/CALSIM/02_SA_NV/LANDUSE//1MON/EXISTING/
	4	1		/CALSIM/02_NU_AL/LANDUSE//1MON/EXISTING/
	4	2		/CALSIM/02_NU_AP/LANDUSE//1MON/EXISTING/
	4	3		/CALSIM/02_NU_CO/LANDUSE//1MON/EXISTING/
	4	4		/CALSIM/02_NU_CR/LANDUSE//1MON/EXISTING/
	4	5		/CALSIM/02_NU_CU/LANDUSE//1MON/EXISTING/
	4	6		/CALSIM/02_NU_DB/LANDUSE//1MON/EXISTING/
	4	7		/CALSIM/02_NU_FI/LANDUSE//1MON/EXISTING/
	4	8		/CALSIM/02_NU_GR/LANDUSE//1MON/EXISTING/
	4	9		/CALSIM/02_NU_OG/LANDUSE//1MON/EXISTING/
	4	10		/CALSIM/02_NU_OR/LANDUSE//1MON/EXISTING/
	4	11		/CALSIM/02_NU_PA/LANDUSE//1MON/EXISTING/
