C*******************************************************************************
C
C                          IWFM DEMAND CALCULATOR (IDC)
C                              *** Version 2.1 ***
C
C*******************************************************************************
C
C                            LAND USE DATA FILE
C
C
C             Project :    CALSIM 3.0 Development
C             Filename:    ExistLandUse.dat
C
C******************************************************************************
C                          File Description
C
C   This data file contains the time series data for the area of each
C   agricultural crop, urban and native vegetation area in each subregion.
C
C*******************************************************************************
C                           Land Use Data Specifications
C
C   FACTLN;   Conversion factor for land use area
C   DSSFL ;   The name of the DSS file for data input
C              * Leave blank if DSS file is not used for data input
C
C----------------------------------------------------------------------------------------
C         VALUE                                      DESCRIPTION
C----------------------------------------------------------------------------------------
         43560.0                                     / FACTLN
         .\inputDSS\CS3_LandUseDU.dss                              / DSSFL
C----------------------------------------------------------------------------------------
C                             Land Use Data
C                         (READ FROM THIS FILE)
C
C   List the land use data below, if it will not be read from a DSS file
C   (i.e. DSSFL is left blank above).
C
C   ITLN ;   Time
C   IREGN;   Subregion number
C   AREA ;   Area of each land use type [L^2]
C              1:Crop 1 ; 2:Crop 2 ; 3:Crop 3 ..... NCROP:Crop NCROP ; NCROP+1:Urban ; NCROP+2:Native veg.
C
C  **************************************************************** LU DOCUMENTATION ************************************************
C  **** Values taken from CalSim-III Hydrology Development Project report Table 7-7 Irrigated Crop Acreage by Demand Unit Sacramento River Hydrologic Region ****
C  **** The following assumptions were made to match land use values with latest DU list and names
C	MWH Provided DU acreage	04/22/10	LandUsebyDemandUnit_04.22.10.xlsx
C						IDC DU Name
C		     				8S_NA1
C		                 		8S_NA2
C						9_PR
C						11_PR
C		                                11_SA3
C		 				11_SA4
C						16_NA1
C						16_NA2
C						20_NA1
C						20_NA2
C						24_NA2
C						24_NA3
C  **** RICE ACREAGE HAS BEEN ZEROED-OUT AND IS ACCOUNTED FOR IN RICE POST-PROCESSOR ONLY
C  **********************************************************************************************************************************
C--------------------------------------------------------------------------------------------
C   ITLN             IREGN     AREA[1]    AREA[2]  .....  AREA[NCROP+2]
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C                                                               AREA
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C			IREGN	AL	AP	CO	CR	CU	DB	FI	GR	OG	OR	PA	PO	RI	SB	SF	SO	TH	TM	TR	VI	UR	NV
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C10/31/2500_24:00       	  1	155	72	0	0	0	0	13	111	0	228	2206	0	0	0	0	16	0	0	142	0	5158	132994
C			  2	0	33	0	0	0	0	3	0	0	44	631	0	0	0	0	729	0	0	38	0	3964	12474
C			  3	445	95	0	0	0	0	17	186	0	1328	7896	0	0	0	0	155	0	0	87	0	4141	9517
C			  4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5794	15827
C			  5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2461	6802
C			  6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7102	6008
C			  7	141	0	0	0	0	0	60	574	0	1236	2836	0	0	0	66	0	0	0	284	0	5435	127486
C			  8	126	0	0	0	0	0	29	43	0	59	1934	0	0	0	0	0	0	0	15	0	11701	17108
C			  9	0	0	0	0	0	0	11	83	0	71	1135	0	0	0	34	0	0	0	96	0	1169	1052
C			  10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C			  12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6639	9956
C			  13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4102	6936
C			  14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4252	4953
C			  15	2654	5188	0	2287	767	252	518	4087	0	10743	13113	0	0	19	216	14910	0	0	193	0	7972	380204
C			  16	316	924	0	118	0	0	179	424	0	1294	1728	0	0	0	0	3229	0	0	7	0	795	8279
C			  17	50	0	0	0	0	0	10	36	0	155	139	0	0	0	0	13	0	0	0	0	42	706
C			  18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1247	373
C			  19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2255	1653
C			  20	1233	17015	0	761	157	714	863	1440	0	28790	7351	0	0	33	408	207	0	0	267	0	3450	116371
C			  21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1593	4068
C			  22	55	93	0	0	0	0	0	127	0	12	567	0	0	0	0	121	0	0	0	0	39	10366
C			  23	647	1933	0	477	0	0	74	334	0	1097	8281	0	0	1	0	2972	0	0	0	0	1409	7943
C			  24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1126	147
C			  25	7078	9908	159	5831	4	990	1579	5841	0	3319	7705	0	0	514	481	1352	0	0	93	18	2260	177335
C			  26	3201	5463	0	3698	266	715	1895	5060	0	1732	3049	0	0	547	499	1334	0	0	14	1700	816	21702
C			  27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	67
C			  28	3818	6810	5901	4388	1778	976	2149	8798	455	1047	430	0	0	69	961	36	0	16094	530	2618	2757	237144
